AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,Breed,Color,age_months,Pure
A692612,Joy,2014-12-20 11:55:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Torbie,3.0,No
A670204,Lucky,2014-01-08 17:57:00,Return_to_owner,,Dog,Neutered Male,chihuahua shorthair mix,Tricolor,24.0,No
A692516,,2014-12-04 17:23:00,Transfer,Partner,Dog,Neutered Male,pit bull mix,Black/White,12.0,No
A703473,Pickles,2015-06-07 13:15:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,White/Brown Tabby,1.0,No
A683906,Bandit,2014-07-20 14:09:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Black,1.0,No
A686079,,2014-08-22 17:17:00,Return_to_owner,,Dog,Neutered Male,australian shepherd mix,Tricolor,2.0,No
A678178,Brandy,2014-06-21 18:41:00,Return_to_owner,,Dog,Spayed Female,golden retriever mix,Red,36.0,No
A714534,Cassie,2015-11-01 16:44:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,White/Blue,4.0,No
A700979,Chico,2015-05-02 11:43:00,Adoption,,Dog,Neutered Male,miniature pinscher mix,Black/Tan,60.0,No
A675574,Zazzle,2014-04-06 13:40:00,Adoption,,Cat,Spayed Female,russian blue mix,Blue,36.0,No
A630148,Molly,2014-01-10 14:06:00,Return_to_owner,,Cat,Spayed Female,domestic longhair mix,Tortie,48.0,No
A690148,Lucy,2014-11-29 18:19:00,Adoption,,Dog,Spayed Female,german shepherd mix,Red/White,12.0,No
A705705,,2015-07-08 16:58:00,Return_to_owner,,Cat,Intact Male,domestic shorthair mix,Brown Tabby/White,0.5,No
A712986,Bricklyn,2015-10-03 17:37:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Brown Tabby,2.0,No
A705270,,2015-06-17 12:45:00,Transfer,Partner,Cat,Intact Female,domestic shorthair,Black/White,1.0,Yes
A558166,Foxie,2014-12-19 17:45:00,Return_to_owner,,Dog,Spayed Female,siberian husky,Red/White,108.0,Yes
A688321,Jenny,2014-09-21 18:14:00,Euthanasia,Suffering,Cat,Spayed Female,domestic shorthair mix,Orange Tabby/White,12.0,No
A715182,Piper,2015-12-23 15:34:00,Adoption,Foster,Cat,Spayed Female,domestic shorthair mix,Orange Tabby/White,2.0,No
A664301,Neville,2013-10-06 18:06:00,Adoption,,Dog,Spayed Female,anatol shepherd/great pyrenees,White/Tan,2.0,No
A701126,,2015-04-24 13:39:00,Euthanasia,Suffering,Cat,Unknown,domestic shorthair mix,Blue Tabby/White,60.0,No
A660090,Casper,2015-03-08 19:01:00,Adoption,,Cat,Neutered Male,siamese mix,Blue Point,24.0,No
A699675,Charlie,2015-11-28 13:55:00,Adoption,Foster,Dog,Neutered Male,labrador retriever/greyhound,Black,72.0,No
A671538,Munchkin,2014-02-04 14:10:00,Transfer,Partner,Dog,Intact Female,plott hound mix,Brown Brindle/White,3.0,No
A695543,,2015-01-21 13:20:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Brown Tabby,24.0,No
A705849,,2015-06-23 09:00:00,Transfer,SCRP,Cat,Intact Female,domestic shorthair mix,Calico,3.0,No
A675319,,2014-03-30 19:12:00,Adoption,,Dog,Neutered Male,mastiff/rottweiler,Red/White,4.0,No
A702391,Ms. Piggy,2015-06-07 19:27:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Black,2.0,No
A720921,Riley,2016-02-21 00:00:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Brown Tabby/White,60.0,No
A683935,,2014-07-23 18:33:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Orange Tabby,3.0,No
A597312,Kano,2014-01-01 16:58:00,Return_to_owner,,Dog,Neutered Male,pit bull,Brown,48.0,Yes
A687043,Austin,2015-10-29 15:18:00,Adoption,Foster,Dog,Neutered Male,pit bull mix,White/Tan,12.0,No
A669639,Chona,2014-01-10 16:11:00,Return_to_owner,,Dog,Spayed Female,plott hound/carolina dog,Brown/Tan,36.0,No
A699487,Crunchella,2015-05-13 15:19:00,Transfer,Partner,Dog,Spayed Female,norwich terrier mix,Buff/White,12.0,No
A699344,Ruby,2015-03-29 17:47:00,Adoption,,Dog,Spayed Female,boxer mix,Tricolor,2.0,No
A580685,Bella,2014-03-25 11:33:00,Euthanasia,Aggressive,Dog,Spayed Female,pit bull mix,Brown Brindle/White,48.0,No
A640655,Sandy,2014-04-25 11:17:00,Return_to_owner,,Dog,Spayed Female,miniature schnauzer/miniature poodle,White,48.0,No
A689404,Mickey,2014-10-03 18:47:00,Return_to_owner,,Cat,Neutered Male,domestic shorthair mix,Black,60.0,No
A664763,Lobo,2014-11-11 12:02:00,Transfer,Partner,Dog,Neutered Male,chihuahua shorthair/dachshund,Black/Tan,12.0,No
A716846,Picard,2016-02-08 17:28:00,Adoption,,Dog,Neutered Male,pit bull mix,White/Black,12.0,No
A664806,Fergus,2014-01-26 17:06:00,Adoption,,Dog,Neutered Male,west highland mix,White,12.0,No
A689702,Chato,2014-11-08 13:49:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Black,96.0,No
A706709,Dolly,2015-07-07 17:26:00,Adoption,,Dog,Spayed Female,jack russell terrier/dachshund wirehair,White/Brown,12.0,No
A687416,Liam,2014-09-14 15:09:00,Adoption,,Dog,Neutered Male,staffordshire mix,Chocolate/White,24.0,No
A684463,Dingo,2015-01-31 15:54:00,Adoption,,Dog,Neutered Male,australian cattle dog mix,Black/White,12.0,No
A699302,Mochi,2015-03-30 15:28:00,Transfer,Partner,Dog,Neutered Male,carolina dog/australian cattle dog,Tan,12.0,No
A676790,,2014-04-18 14:48:00,Transfer,SCRP,Cat,Intact Female,domestic shorthair mix,Blue Tabby,12.0,No
A692613,Harvey,2014-12-07 13:20:00,Adoption,,Cat,Intact Female,domestic shorthair mix,Tortie/White,2.0,No
A715063,Mia,2015-10-31 15:44:00,Return_to_owner,,Cat,Spayed Female,domestic shorthair mix,Blue/White,60.0,No
A678112,,2014-05-04 13:52:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Blue Tabby,0.1,No
A671698,Eli,2014-02-01 17:52:00,Adoption,,Dog,Neutered Male,collie smooth mix,Sable/White,2.0,No
A670181,,2014-01-05 18:21:00,Transfer,SCRP,Cat,Intact Female,domestic shorthair mix,Brown Tabby/White,24.0,No
A694829,Fawn,2015-01-22 16:58:00,Euthanasia,Rabies Risk,Dog,Spayed Female,pit bull mix,Tan,24.0,No
A715791,Dude,2015-11-19 12:26:00,Return_to_owner,,Dog,Neutered Male,australian shepherd mix,Brown/Black,24.0,No
A683278,Mittens,2014-07-13 17:14:00,Adoption,,Cat,Spayed Female,siamese mix,Lynx Point,12.0,No
A683868,Trevor,2014-08-09 17:59:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Brown Tabby/White,2.0,No
A671102,,2014-01-22 17:11:00,Transfer,Partner,Dog,Neutered Male,cardigan welsh corgi mix,Tricolor,24.0,No
A708536,Pete,2015-08-29 13:19:00,Adoption,,Dog,Neutered Male,miniature poodle mix,Black,24.0,No
A715701,,2015-11-08 15:50:00,Euthanasia,Suffering,Cat,Spayed Female,domestic shorthair mix,Brown Tabby/White,96.0,No
A695230,Otter,2015-08-07 12:33:00,Return_to_owner,,Cat,Neutered Male,domestic shorthair mix,Blue,24.0,No
A717270,Loki,2015-12-12 16:57:00,Adoption,,Dog,Neutered Male,golden retriever/dachshund,Yellow,48.0,No
A696301,Tuna,2015-02-16 11:53:00,Adoption,,Cat,Neutered Male,domestic medium hair mix,Black,1.0,No
A679607,,2014-05-23 16:24:00,Transfer,Partner,Dog,Intact Male,pit bull mix,Brown/White,1.0,No
A701085,,2015-05-11 11:32:00,Transfer,SCRP,Cat,Intact Male,domestic shorthair mix,Orange Tabby,24.0,No
A683762,Lola,2014-08-07 19:06:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Blue Tabby,3.0,No
A711244,,2015-09-05 09:00:00,Transfer,SCRP,Cat,Intact Female,domestic shorthair mix,Tortie,12.0,No
A692062,,2014-11-25 18:35:00,Transfer,SCRP,Cat,Intact Female,domestic longhair mix,Tortie,10.0,No
A684688,Maggie,2014-07-31 17:39:00,Adoption,,Dog,Spayed Female,chihuahua shorthair/cairn terrier,Cream,8.0,No
A716252,Karmen,2015-11-23 00:00:00,Transfer,Partner,Dog,Intact Female,labrador retriever mix,Black,72.0,No
A658253,Nugget,2013-10-03 15:15:00,Adoption,Foster,Cat,Neutered Male,domestic shorthair mix,Orange Tabby,24.0,No
A687227,Jake,2014-09-07 18:47:00,Adoption,,Dog,Neutered Male,jack russell terrier mix,White/Tan,12.0,No
A683469,Dakota,2016-02-16 00:00:00,Transfer,Partner,Dog,Neutered Male,border collie mix,Brown Brindle/White,36.0,No
A692916,Charms,2015-01-10 16:29:00,Adoption,,Dog,Spayed Female,chihuahua shorthair mix,Tan,84.0,No
A707703,Bruno,2015-07-19 18:15:00,Return_to_owner,,Dog,Neutered Male,cavalier span mix,Red,12.0,No
A680522,Yogi,2014-07-23 15:24:00,Adoption,,Dog,Neutered Male,australian shepherd/australian kelpie,Black/Buff,36.0,No
A685112,Peaches,2014-11-11 11:27:00,Return_to_owner,,Dog,Spayed Female,pit bull mix,Black/White,24.0,No
A691742,Morgan,2015-03-15 16:16:00,Adoption,,Dog,Spayed Female,pit bull mix,White/Tan,36.0,No
A705968,Joy,2015-06-23 17:00:00,Return_to_owner,,Dog,Intact Female,shih tzu mix,Buff/Black,24.0,No
A670589,Spotty,2014-01-17 12:00:00,Adoption,,Dog,Spayed Female,chihuahua shorthair mix,White/Brown,12.0,No
A717156,Hank,2015-12-17 13:58:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Orange Tabby,24.0,No
A648320,Suzzy,2014-08-03 17:41:00,Return_to_owner,,Dog,Spayed Female,pit bull/bulldog,Brown/White,36.0,No
A715321,B.C.,2015-11-10 16:59:00,Return_to_owner,,Dog,Spayed Female,border collie mix,Black/White,72.0,No
A695303,Misty,2015-01-19 15:46:00,Adoption,,Dog,Spayed Female,german shepherd/labrador retriever,White,8.0,No
A701753,Mitzy,2015-05-12 17:41:00,Adoption,Foster,Cat,Spayed Female,domestic shorthair mix,Blue/White,2.0,No
A710023,Scooby,2015-10-05 12:33:00,Adoption,,Dog,Neutered Male,pit bull mix,Tan/White,36.0,No
A716949,Zeus,2015-12-04 18:26:00,Adoption,,Dog,Neutered Male,labrador retriever mix,Yellow/White,2.0,No
A671779,Luca,2014-02-03 18:05:00,Adoption,,Dog,Neutered Male,miniature schnauzer mix,Silver/Black,4.0,No
A700764,Niko,2015-06-04 10:56:00,Adoption,Foster,Cat,Neutered Male,domestic shorthair mix,Cream Tabby,2.0,No
A697709,Dav-3,2015-03-01 11:41:00,Return_to_owner,,Cat,Spayed Female,domestic shorthair mix,Gray Tabby,48.0,No
A718774,,2016-01-11 17:47:00,Transfer,SCRP,Cat,Neutered Male,domestic shorthair mix,Black/White,24.0,No
A711955,Scooter,2015-09-19 13:36:00,Transfer,Partner,Dog,Neutered Male,dachshund mix,White/Orange,2.0,No
A676274,,2014-07-12 17:15:00,Adoption,Foster,Cat,Spayed Female,domestic shorthair mix,Brown Tabby,3.0,No
A711307,,2015-09-06 09:00:00,Transfer,SCRP,Cat,Unknown,domestic shorthair mix,Black,5.0,No
A702009,Hermes,2015-08-10 14:10:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Brown Tabby,3.0,No
A696087,Dewey,2015-02-01 17:11:00,Return_to_owner,,Cat,Neutered Male,domestic medium hair mix,Orange Tabby/White,2.0,No
A637896,Modelo,2015-10-03 09:04:00,Died,In Kennel,Cat,Neutered Male,domestic longhair mix,Brown Tabby/White,36.0,No
A685920,Layla,2014-08-19 18:28:00,Adoption,,Dog,Spayed Female,german shepherd mix,Brown/Black,5.0,No
A674634,,2014-03-16 14:37:00,Transfer,Partner,Cat,Intact Female,siamese mix,Lynx Point,0.5,No
A664968,Simba,2013-10-12 17:09:00,Return_to_owner,,Dog,Intact Male,german shepherd mix,Tan/Black,12.0,No
A708938,,2015-08-03 09:22:00,Euthanasia,Suffering,Cat,Intact Male,domestic shorthair mix,Black,4.0,No
A712224,,2015-09-23 17:32:00,Adoption,,Dog,Neutered Male,miniature schnauzer mix,Black/White,96.0,No
A694147,,2014-12-26 18:43:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Blue/White,2.0,No
A670503,Lauttie,2014-03-23 16:27:00,Adoption,,Dog,Spayed Female,shiba inu mix,Brown/White,60.0,No
A704911,Miles,2015-07-28 19:04:00,Adoption,,Dog,Neutered Male,pit bull mix,Blue/White,1.0,No
A679581,Flaco,2014-05-29 15:03:00,Adoption,,Dog,Neutered Male,pug/chihuahua shorthair,Black/White,24.0,No
A694480,,2015-01-01 14:02:00,Adoption,,Dog,Spayed Female,pbgv,White/Tan,8.0,Yes
A707011,Ramond Juan,2015-07-06 17:32:00,Return_to_owner,,Dog,Neutered Male,rat terrier mix,Tricolor,96.0,No
A684606,Mercedes,2014-08-04 13:45:00,Adoption,,Dog,Spayed Female,carolina dog mix,Tan,36.0,No
A718123,Joy Smeagle,2015-12-27 17:03:00,Adoption,,Dog,Neutered Male,pekingese mix,Brown/White,24.0,No
A701332,,2015-04-27 18:52:00,Transfer,Partner,Cat,Unknown,domestic shorthair mix,Black/White,0.1,No
A678763,Snowflake,2014-05-25 18:06:00,Adoption,,Cat,Spayed Female,siamese mix,Lynx Point,8.0,No
A648138,Gracie,2013-11-24 11:41:00,Adoption,,Dog,Spayed Female,labrador retriever mix,Red,11.0,No
A666838,Roscoe,2014-12-24 11:19:00,Return_to_owner,,Dog,Neutered Male,basset hound mix,White/Tan,96.0,No
A675896,Emma,2014-04-06 14:41:00,Transfer,Partner,Cat,Spayed Female,maine coon mix,Brown Tabby,24.0,No
A713142,Koda,2015-10-07 11:41:00,Transfer,Partner,Dog,Spayed Female,labrador retriever mix,Brown,4.0,No
A677099,,2014-04-24 19:00:00,Adoption,,Dog,Neutered Male,cocker spaniel mix,Buff,12.0,No
A678147,,2014-05-08 14:58:00,Transfer,Partner,Dog,Intact Female,australian cattle dog mix,White/Brown,12.0,No
A665081,Frank,2013-11-12 16:41:00,Transfer,Partner,Cat,Neutered Male,domestic longhair mix,Brown Tabby/White,96.0,No
A674396,Bonnie,2014-03-16 16:07:00,Transfer,Partner,Cat,Spayed Female,siamese mix,Tortie Point,60.0,No
A702384,Bonny,2015-05-16 16:29:00,Adoption,,Dog,Neutered Male,bichon frise mix,White,48.0,No
A675699,Luna,2014-09-08 16:56:00,Return_to_owner,,Dog,Spayed Female,jindo mix,White,96.0,No
A692827,Crosby,2014-12-19 13:06:00,Transfer,Partner,Dog,Neutered Male,pit bull mix,Black/White,24.0,No
A710684,Gandalf,2015-08-29 14:15:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Black,1.0,No
A658559,Rusty,2014-01-26 16:37:00,Adoption,Foster,Cat,Neutered Male,domestic shorthair mix,Orange Tabby/White,24.0,No
A709982,Thomas,2015-08-22 11:49:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Brown Tabby/White,2.0,No
A715745,Wren,2015-11-16 15:20:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Calico,1.0,No
A687687,Nala,2014-09-12 18:49:00,Adoption,,Dog,Spayed Female,siberian husky mix,Sable/White,10.0,No
A669176,Lacy,2013-12-21 18:26:00,Adoption,,Dog,Spayed Female,chihuahua shorthair mix,Tan,24.0,No
A681829,,2014-06-20 18:28:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Black,1.0,No
A701939,Lacey,2015-06-14 13:45:00,Adoption,,Dog,Spayed Female,boxer mix,Brown Brindle/White,60.0,No
A672168,Cherry,2014-02-14 15:08:00,Transfer,Partner,Dog,Intact Female,yorkshire terrier mix,Black/White,0.25,No
A715621,Reba,2015-11-13 13:28:00,Transfer,Partner,Dog,Intact Female,golden retriever mix,Cream,6.0,No
A706230,Remy,2015-08-20 16:51:00,Adoption,,Dog,Neutered Male,maltese/miniature poodle,White,48.0,No
A660814,Baby Girl,2014-01-10 11:34:00,Transfer,Partner,Dog,Spayed Female,pit bull mix,Black/White,24.0,No
A665010,,2013-10-12 15:05:00,Transfer,Partner,Dog,Intact Female,chihuahua shorthair mix,Tan/Black,1.0,No
A681302,Hanna Jo,2014-06-21 19:05:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Tortie,2.0,No
A667037,Dexter,2013-11-22 15:19:00,Transfer,Partner,Dog,Neutered Male,labrador retriever/pit bull,Brown Brindle/White,10.0,No
A692550,Trudy,2014-11-25 15:45:00,Adoption,,Dog,Spayed Female,australian cattle dog mix,Blue Tick,72.0,No
A667257,,2013-11-20 10:59:00,Euthanasia,Suffering,Dog,Intact Female,maltese mix,White,84.0,No
A680465,Anna,2014-06-03 12:13:00,Transfer,Partner,Dog,Intact Female,shih tzu mix,Sable/White,36.0,No
A663696,Frankie,2013-10-11 11:58:00,Transfer,Partner,Dog,Neutered Male,labrador retriever mix,Yellow,12.0,No
A697278,Andre,2015-02-25 17:57:00,Return_to_owner,,Dog,Neutered Male,pit bull mix,Blue/White,36.0,No
A695484,Max,2015-01-16 17:10:00,Return_to_owner,,Dog,Neutered Male,dachshund longhair mix,Brown/White,36.0,No
A682540,Rumor,2014-08-09 14:42:00,Return_to_owner,,Dog,Neutered Male,great pyrenees/rottweiler,Red,24.0,No
A719289,Meg,2016-01-20 17:17:00,Adoption,,Dog,Spayed Female,english pointer mix,White/Brown Brindle,2.0,No
A692783,,2014-11-26 09:00:00,Transfer,SCRP,Cat,Intact Female,domestic shorthair mix,Torbie,7.0,No
A691672,Midnight,2015-05-30 14:53:00,Adoption,,Dog,Neutered Male,australian shepherd mix,Black/Tan,48.0,No
A666902,Ophelia,2013-11-11 10:43:00,Return_to_owner,,Dog,Intact Female,pit bull mix,White/Black Brindle,60.0,No
A689620,Bleu,2014-10-10 19:06:00,Adoption,,Dog,Neutered Male,australian cattle dog mix,Blue Tick/Black,5.0,No
A693416,Natalia,2015-07-20 14:10:00,Transfer,Partner,Dog,Spayed Female,pit bull mix,Chocolate/White,60.0,No
A680511,,2014-06-03 17:35:00,Transfer,Partner,Cat,Unknown,domestic shorthair mix,Black/White,0.03333333333333333,No
A720956,Dotty,2016-02-19 16:42:00,Return_to_owner,,Dog,Spayed Female,labrador retriever mix,Yellow,12.0,No
A705889,,2015-06-29 17:46:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Calico,3.0,No
A538585,Athena,2014-06-18 13:04:00,Transfer,Partner,Dog,Spayed Female,pit bull mix,Red/White,60.0,No
A689245,Nala,2014-10-02 14:10:00,Transfer,Partner,Dog,Spayed Female,chihuahua longhair mix,White,6.0,No
A582945,Nina,2013-12-17 11:51:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Brown Tabby,84.0,No
A685548,,2014-08-12 12:17:00,Euthanasia,Suffering,Dog,Intact Male,miniature poodle mix,White,48.0,No
A696009,,2015-01-31 18:40:00,Adoption,,Dog,Spayed Female,australian cattle dog/german shepherd,Black/Brown,2.0,No
A665620,Mona,2013-10-22 17:12:00,Return_to_owner,,Dog,Intact Female,chihuahua shorthair mix,Tricolor,12.0,No
A709442,Jay,2015-08-24 13:58:00,Transfer,Partner,Cat,Neutered Male,siamese mix,Seal Point,84.0,No
A715816,Chula,2015-11-15 17:26:00,Adoption,,Dog,Spayed Female,chihuahua shorthair mix,Chocolate/Tan,12.0,No
A718730,Scooter,2016-01-06 11:49:00,Return_to_owner,,Dog,Intact Male,boxer mix,Brown,12.0,No
A707367,Alastair,2015-07-19 14:44:00,Adoption,,Cat,Intact Male,domestic shorthair mix,Blue,1.0,No
A719942,Joe,2016-02-01 18:56:00,Return_to_owner,,Dog,Neutered Male,chihuahua shorthair mix,White,48.0,No
A720150,Chester,2016-02-15 15:44:00,Adoption,,Dog,Neutered Male,labrador retriever mix,Black,12.0,No
A713864,Calla Lily,2015-10-23 17:24:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Black/White,8.0,No
A686078,,2014-08-17 09:00:00,Transfer,SCRP,Cat,Intact Male,domestic shorthair mix,Blue Tabby,4.0,No
A693319,,2014-12-10 12:17:00,Euthanasia,Aggressive,Dog,Intact Male,labrador retriever/chow chow,Black,24.0,No
A666397,Gage,2013-11-10 17:51:00,Adoption,,Dog,Neutered Male,german shepherd mix,Black/Tan,24.0,No
A672657,Angie,2014-04-07 11:33:00,Adoption,,Dog,Spayed Female,border collie/chow chow,Black/White,12.0,No
A667338,Peony,2013-12-02 16:17:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Tortie/White,2.0,No
A704715,Isabella,2015-11-25 07:28:00,Adoption,Foster,Cat,Spayed Female,domestic shorthair mix,Black,6.0,No
A714148,Lady,2015-12-29 20:20:00,Adoption,,Dog,Spayed Female,miniature poodle mix,Black/Tan,48.0,No
A685988,Robbie,2014-09-14 17:51:00,Adoption,Offsite,Cat,Neutered Male,domestic shorthair mix,Black,2.0,No
A719770,Rusty,2016-01-29 11:12:00,Return_to_owner,,Dog,Neutered Male,chihuahua shorthair mix,Tan,120.0,No
A700939,Treble,2015-05-18 17:06:00,Transfer,Partner,Dog,Neutered Male,pit bull mix,Black/White,4.0,No
A667929,Pio,2013-12-20 18:15:00,Adoption,Foster,Dog,Neutered Male,german shepherd/mastiff,Tan,1.0,No
A690894,,2014-10-27 18:02:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Blue,0.5,No
A701996,,2015-05-07 14:47:00,Transfer,Partner,Cat,Unknown,domestic medium hair mix,Black Tabby,0.25,No
A700602,Allie,2015-05-03 14:49:00,Transfer,Partner,Cat,Spayed Female,domestic shorthair mix,Black/White,36.0,No
A308771,Lili,2014-03-02 14:40:00,Return_to_owner,,Dog,Spayed Female,labrador retriever mix,Brown,168.0,No
A686191,,2014-08-18 14:31:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Brown Tabby/White,0.5,No
A693769,,2014-12-16 17:52:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Black,3.0,No
A677168,Blackie,2014-04-21 19:00:00,Return_to_owner,,Cat,Neutered Male,domestic shorthair mix,Black,84.0,No
A717754,Lady,2015-12-19 13:10:00,Adoption,,Dog,Spayed Female,dachshund longhair mix,Red/White,48.0,No
A706702,,2015-07-03 17:52:00,Return_to_owner,,Dog,Neutered Male,siberian husky mix,Black/White,24.0,No
A700755,,2015-04-20 09:00:00,Transfer,SCRP,Cat,Intact Female,domestic shorthair mix,Calico,12.0,No
A680925,,2014-06-10 12:51:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Blue Tabby/White,0.75,No
A668493,,2013-12-11 17:18:00,Euthanasia,Aggressive,Dog,Intact Female,pit bull/boxer,White/Black,24.0,No
A697183,Geronimo,2015-02-23 18:51:00,Adoption,,Dog,Spayed Female,labrador retriever/boxer,Brown/White,24.0,No
A684580,Hera,2014-08-19 17:24:00,Adoption,,Cat,Spayed Female,siamese mix,Tortie Point,1.0,No
A688130,Queen Bee,2014-10-03 12:55:00,Transfer,Partner,Dog,Intact Female,pit bull mix,Brown/White,7.0,No
A705160,,2015-06-19 13:45:00,Transfer,Partner,Dog,Intact Female,american staffordshire terrier,Black/Brown,0.25,Yes
A713342,,2015-11-22 13:41:00,Adoption,,Cat,Neutered Male,domestic medium hair mix,Blue Smoke,2.0,No
A704491,,2015-06-05 16:03:00,Transfer,Partner,Dog,Intact Female,labrador retriever/plott hound,Black,3.0,No
A665043,,2013-10-12 19:24:00,Transfer,Partner,Cat,Intact Male,domestic shorthair mix,Orange Tabby,0.75,No
A683158,,2014-07-13 18:52:00,Adoption,,Cat,Spayed Female,domestic medium hair mix,Black/White,2.0,No
A711571,Reggie Veggi,2015-12-04 16:38:00,Return_to_owner,,Dog,Neutered Male,border collie mix,Black/White,36.0,No
A616640,Joy,2013-12-02 15:49:00,Return_to_owner,,Dog,Spayed Female,pit bull mix,Chocolate/White,24.0,No
A705556,Naples,2015-06-24 15:08:00,Adoption,,Dog,Neutered Male,dachshund wirehair mix,Tan,2.0,No
A714201,Murray,2015-11-03 13:12:00,Transfer,Partner,Dog,Intact Male,pit bull mix,White/Brown,36.0,No
A711424,,2015-09-07 09:00:00,Transfer,SCRP,Cat,Unknown,domestic shorthair mix,Blue/White,36.0,No
A668455,Ricky,2013-12-28 17:30:00,Adoption,,Dog,Neutered Male,dachshund mix,Black/Tan,10.0,No
A670331,,2014-01-10 14:42:00,Euthanasia,Aggressive,Dog,Intact Female,pit bull mix,Fawn,24.0,No
A681405,Leonidas,2014-06-24 14:00:00,Adoption,,Cat,Neutered Male,domestic shorthair mix,Brown Tabby,3.0,No
A701268,Kizzy,2015-05-06 14:56:00,Return_to_owner,,Dog,Spayed Female,border collie mix,Tricolor,12.0,No
A667803,Carly,2014-09-06 17:20:00,Transfer,Partner,Dog,Spayed Female,rottweiler mix,Black/Tan,12.0,No
A702959,Booboo,2015-05-27 18:50:00,Return_to_owner,,Dog,Neutered Male,shih tzu mix,Gray/White,12.0,No
A699103,Guapo,2015-03-27 17:19:00,Adoption,,Dog,Neutered Male,dachshund longhair mix,Red/Brown,24.0,No
A679907,Oliver,2014-05-28 17:31:00,Euthanasia,Suffering,Cat,Intact Male,domestic shorthair mix,Orange Tabby/White,1.0,No
A684192,,2014-07-25 18:25:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Tortie,4.0,No
A711651,,2015-09-14 18:08:00,Transfer,Partner,Dog,Neutered Male,norfolk terrier mix,White/Tricolor,12.0,No
A615779,Nala,2016-01-17 16:33:00,Adoption,,Dog,Spayed Female,border collie/mastiff,Black/White,48.0,No
A699979,Roxanne,2015-10-09 18:46:00,Adoption,,Dog,Spayed Female,beagle/german shepherd,Sable/White,10.0,No
A705177,,2015-06-22 12:02:00,Transfer,Partner,Dog,Intact Male,labrador retriever mix,Brown,48.0,No
A666075,Juliep,2013-10-30 15:14:00,Transfer,Partner,Cat,Intact Female,domestic shorthair mix,Brown Tabby,1.0,No
A703604,,2015-07-18 17:16:00,Adoption,Foster,Cat,Spayed Female,domestic medium hair mix,Blue Tabby,2.0,No
A693142,,2015-01-17 10:36:00,Adoption,Offsite,Dog,Neutered Male,podengo pequeno mix,White/Brown,12.0,No
A698808,Hermes,2015-04-20 12:24:00,Adoption,,Cat,Neutered Male,domestic medium hair mix,Cream Tabby,8.0,No
A674710,Inca,2014-03-22 18:23:00,Adoption,,Dog,Spayed Female,labrador retriever mix,Chocolate,84.0,No
A669281,Joanna,2013-12-21 19:29:00,Return_to_owner,,Dog,Spayed Female,black mouth cur mix,Buff,2.0,No
A716363,,2015-11-22 19:17:00,Adoption,,Dog,Spayed Female,golden retriever mix,Buff,10.0,No
A688062,,2014-09-27 15:09:00,Adoption,,Dog,Neutered Male,labrador retriever mix,Brown/White,5.0,No
A708476,Gunner,2015-07-30 18:39:00,Return_to_owner,,Dog,Neutered Male,labrador retriever mix,Black,6.0,No
A693827,,2014-12-19 16:59:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Calico,4.0,No
A715557,Dynah,2015-11-18 13:18:00,Adoption,,Cat,Spayed Female,domestic shorthair mix,Brown Tabby,4.0,No
A696255,Curly Q,2015-02-02 09:27:00,Transfer,Partner,Dog,Intact Male,jack russell terrier,White/Tan,4.0,Yes
A674532,Rosie,2014-06-17 13:28:00,Transfer,Partner,Dog,Spayed Female,australian cattle dog mix,Red Tick,24.0,No
A715205,Bruiser,2015-11-03 09:00:00,Transfer,SCRP,Cat,Neutered Male,domestic shorthair mix,Orange Tabby/White,84.0,No
